name,real_age,faceapi_age,dif
RinkoKikuchi,38,26,-12
JaymeeOng,40,30,-10
Ming-NaWen,56,34,-22
YunjinKim,46,28,-18
LiGong,54,25,-29
ArdenCho,34,23,-11
ChiakiKuriyama,35,26,-9
QiShu,43,25,-18
HanaMaeLee,31,25,-6
SammiCheng,47,26,-21
JamieChung,36,23,-13
JuliaLing,36,23,-13
ElodieYung,38,31,-7
ShayMitchell,32,24,-8
SaraMalakulLane,36,25,-11
MelissaPaulo,34,29,-5
EllenWong,34,23,-11
RachelHuxtable,34,29,-5
MiyaviMatsunoi,31,23,-8
SaraMalakulLane,36,25,-11
NatalieMendoza,41,26,-15
MichelleAng,36,27,-9
StephSong,35,31,-4
SoniaCouling,45,28,-17
AseWang,38,27,-11
AmandaWestlake,29,26,-3
JessikaVan,34,23,-11
LanaCondor,22,25,3
FionaXie,37,25,-12
SonoyaMizuno,33,24,-9
강다영,23,20,-3
강명혜,52,24,-28
강수연,53,28,-25
강청,60,41,-19
강희,65,46,-19
경유진,20,19,-1
고나연,26,19,-7
고선빈,24,19,-5
고소영,47,23,-24
고승아,54,38,-16
고유라,26,20,-6
고은아,73,46,-27
공미진,39,25,-14
곽정희,66,29,-37
국나향,77,46,-31
권지수,29,21,-8
김경란,79,56,-23
김경진,52,29,-23
김금란,68,40,-28
김기자,67,42,-25
김나은,60,36,-24
김남화,36,28,-8
김도은,51,26,-25
김막달,55,44,-11
김미영,48,23,-25
김미정,85,31,-54
김민서,53,35,-18
김민채,33,21,-12
김보연,63,38,-25
김보희,29,21,-8
김샛별,26,21,-5
김석옥,80,33,-47
김선희 (예명:써니 김),52,33,-19
김애경,69,34,-35
김에스더,56,33,-23
김영미,80,58,-22
김윤경,70,48,-22
김정란,64,34,-30
김정자,52,28,-24
김지미,79,38,-41
김지순,69,28,-41
김하늘,41,21,-20
김혜경,69,38,-31
김혜선,50,27,-23
김혜수,49,25,-24
김혜자,78,46,-32
김혜정,78,23,-55
나문희,78,57,-21
남정희,77,50,-27
디나 에이드,33,26,-7
류미오,46,28,-18
류현영,25,19,-6
문미봉,87,51,-36
문세림,35,20,-15
문소리,45,23,-22
문현주,50,25,-25
민병애,63,40,-23
민지아,57,29,-28
박단비,32,19,-13
박아희,26,21,-5
박양희,52,25,-27
박영내,79,48,-31
박예숙,83,49,-34
박정자,77,46,-31
박하,44,25,-19
박해미,55,38,-17
박혜준,40,25,-15
반소영,31,21,-10
방희,65,29,-36
배하나,36,24,-12
백주연,35,13,-22
범정자,65,29,-36
변채윤,52,25,-27
서리슬,35,23,-12
서숙희,62,27,-35
서예빈,23,21,-2
서주아,35,22,-13
선우용녀,74,50,-24
선우일란,53,28,-25
설지윤,49,32,-17
성명순,89,52,-37
소미,23,17,-6
손민지,70,39,-31
손영순,77,51,-26
송나래,31,20,-11
송옥숙,59,35,-24
수애,39,21,-18
수지,40,24,-16
신세지,26,19,-7
신종순,57,34,-23
심효진,46,28,-18
안여진,53,28,-25
안정희,51,30,-21
안진희,30,19,-11
양영숙,67,35,-32
연분홍,42,21,-21
염미경,49,31,-18
염정아,47,26,-21
오가빈,19,17,-2
오경아,74,36,-38
오노아,53,29,-24
오영화,64,31,-33
오정해,48,20,-28
온사랑,61,33,-28
우수민,49,26,-23
원정희,59,30,-29
유경애,80,47,-33
유송희,24,20,-4
윤영애,63,38,-25
윤유정,24,19,-5
윤정희,75,55,-20
음서영,9,5,-4
이경화,50,40,-10
이영애,48,25,-23
이영의,62,44,-18
이예린,29,20,-9
이예빈,19,19,0
이용이,62,29,-33
이유라,56,27,-29
이은정,50,26,-24
이인옥,66,41,-25
이정민,38,23,-15
이혜령,54,26,-28
이혜영,57,27,-30
임난영,56,28,-28
임연희,57,36,-21
임종분,66,45,-21
임지안,56,27,-29
장나라,38,23,-15
장영희,34,25,-9
전계현,83,46,-37
전수현,21,19,-2
전채련,71,44,-27
전혜란,70,56,-14
전희정,63,44,-19
정경임,67,39,-28
정라모,62,26,-36
정솔희,34,23,-11
정수경,55,24,-31
정영숙,72,47,-25
정영희,67,39,-28
정은경,51,18,-33
정은희,60,22,-38
정재연,42,25,-17
정재영,39,22,-17
제니안,50,31,-19
조남미,67,39,-28
조영화,64,42,-22
조은주,35,25,-10
조학자,84,51,-33
조현주,49,29,-20
차민선,72,40,-32
차부녀,66,42,-24
채시라,51,26,-25
채주이,44,30,-14
천서경,25,20,-5
최민금,61,34,-27
최연수,90,53,-37
최은희,89,52,-37
최정민,69,45,-24
최정인,44,24,-20
최지연,44,18,-26
최지우,44,26,-18
최지헌,28,22,-6
최지혜,20,19,-1
최지희,79,42,-37
최현숙,60,38,-22
태현실,78,46,-32
하수연,60,30,-30
하유미,51,26,-25
하지원,41,21,-20
한수진,42,25,-17
한유정,59,31,-28
한윤경,51,28,-23
한윤희,42,20,-22
한은정,39,26,-13
한지숙,38,22,-16
해아,34,23,-11
허나희,59,26,-33
허다정,42,26,-16
홍나영,53,32,-21
홍윤정,75,45,-30
황현이,55,29,-26
흐엉,30,21,-9
