name,real_age,faceapi_age,dif
Justin Bieber,25,19,-6
Taylor Swift,30,23,-7
Miley Cyrus,27,25,-2
Jared Leto,48,34,-14
Ariana Grande,26,20,-6
Katy Perry,35,28,-7
Kendall Jenner,24,23,-1
Nina Dobrev,30,25,-5
Ville Valo,43,35,-8
Taylor Lautner,27,26,-1
Nick Jonas,27,25,-2
Miranda Kerr,36,25,-11
Robert Pattinson,33,32,-1
Joe Jonas,30,27,-3
Eminem,47,30,-17
Victoria Justice,26,23,-3
Megan Fox,33,31,-2
Kristen Stewart,29,28,-1
Henry Cavill,36,36,0
Zac Efron,32,31,-1
Paul Walker,6,37,31
Marilyn Monroe,57,31,-26
Lindsay Lohan,33,32,-1
Ian Somerhalder,41,33,-8
Emma Watson,29,23,-6
Cara Delevingne,27,22,-5
Çagatay Ulusoy,29,28,-1
Niall Horan,26,17,-9
Harry Styles,25,28,3
Emilia Clarke,33,28,-5
Sabrina Carpenter,20,22,2
Rita Ora,29,26,-3
Ross Lynch,24,22,-2
Liam Hemsworth,29,31,2
Lily Collins,30,21,-9
Lady Gaga,33,30,-3
Beren Saat,35,23,-12
Ewa Sonnet,34,27,-7
William Levy,39,33,-6
Debby Ryan,26,21,-5
Kylie Jenner,22,25,3
Hazal Kaya,29,22,-7
Colton Haynes,31,27,-4
Derek Hough,34,31,-3
Bella Thorne,22,21,-1
Jennifer Lawrence,29,27,-2
Phoebe Tonkin,30,28,-2
Dianna Agron,33,27,-6
Melissa Rauch,39,26,-13
Tuba Büyüküstün,37,26,-11
Tom Hiddleston,38,36,-2
Lea Michele,33,31,-2
Sara Jean Underwood,35,28,-7
Ashley Greene,32,30,-2
Rob Dyrdek,45,35,-10
Lucy Hale,30,30,0
Jennette McCurdy,27,29,2
Anna Kendrick,34,30,-4
Irina Shayk,33,28,-5
Ed Westwick,32,28,-4
Cole Sprouse,27,26,-1
Stana Katic,41,28,-13
Coco Austin,40,35,-5
Shannon Leto,49,29,-20
Paul Wesley,15,30,15
Leslie Easterbrook,70,38,-32
Leighton Meester,33,28,-5
Candice Swanepoel,31,26,-5
Alex Pettyfer,29,27,-2
Samantha Fox,53,39,-14
Emma Stone,31,27,-4
Hayley Williams,31,25,-6
Monica Lewinsky,46,37,-9
Chace Crawford,34,31,-3
Minka Kelly,39,31,-8
Miranda Cosgrove,26,30,4
Josh Hutcherson,27,28,1
Amber Heard,33,28,-5
Amanda Seyfried,34,28,-6
Lisa Ann,47,35,-12
Barbi Benton,69,25,-44
Nina Hartley,60,46,-14
Jayne Mansfield,52,30,-22
Pink,40,32,-8
Vanna White,62,42,-20
Olivia Wilde,35,32,-3
Matthew Gray Gubler,39,31,-8
Maria Sharapova,32,25,-7
Lucy Pinder,36,29,-7
Lionel Messi,32,32,0
Lauren Conrad,33,30,-3
Kat Dennings,33,26,-7
Emily Osment,27,27,0
Ellen Page,32,25,-7
Chris Pine,39,35,-4
Cheryl,36,33,-3
Avril Lavigne,35,26,-9
Ashley Benson,30,28,-2
Alessandra Ambrosio,38,32,-6
Adam Levine,40,34,-6
Sophia Loren,85,26,-59
Sophia Bush,37,29,-8
Shakira,42,29,-13
Seth MacFarlane,46,36,-10
Sandra Bullock,55,37,-18
Ryan Reynolds,43,36,-7
Ryan Gosling,39,36,-3
Raquel Welch,79,45,-34
Rachel McAdams,41,31,-10
Rachel Bilson,38,31,-7
Pamela Anderson,52,33,-19
Orlando Bloom,42,34,-8
Nathan Fillion,48,37,-11
Natalie Portman,38,28,-10
Monica Bellucci,55,31,-24
Mila Kunis,36,28,-8
Madonna,61,34,-27
Kirsten Dunst,37,31,-6
Kelly LeBrock,59,45,-14
Kelly Brook,40,32,-8
Kaley Cuoco,34,32,-2
Justin Timberlake,38,30,-8
Joseph Gordon-Levitt,38,31,-7
Jonathan Rhys Meyers,42,33,-9
Johnny Depp,56,36,-20
John Mayer,42,30,-12
John Cena,42,40,-2
Jessica Simpson,39,27,-12
Jennifer Love Hewitt,40,30,-10
Jennifer Aniston,50,38,-12
Jenna Jameson,45,31,-14
James Franco,41,32,-9
Jake Gyllenhaal,39,39,0
Hilary Duff,32,30,-2
Hayden Panettiere,30,27,-3
Gerard Butler,50,37,-13
Emma Roberts,28,21,-7
Elizabeth Taylor,8,31,23
Colin Farrell,43,31,-12
Christy Canyon,53,30,-23
Chris Evans,38,31,-7
Charlize Theron,44,31,-13
Cameron Diaz,47,33,-14
Britney Spears,38,32,-6
Brigitte Bardot,85,25,-60
Bradley Cooper,44,38,-6
Brad Pitt,56,38,-18
Audrey Hepburn,26,25,-1
Ashton Kutcher,41,32,-9
Ashley Tisdale,34,27,-7
Anne Hathaway,37,31,-6
Angelina Jolie,44,35,-9
Amanda Bynes,33,26,-7
Alyssa Milano,47,31,-16
Bar Refaeli,34,32,-2
Paris Hilton,38,33,-5
Carmen Electra,47,32,-15
Demi Moore,57,36,-21
Leonardo DiCaprio,45,33,-12
Scarlett Johansson,35,25,-10
Josh Hartnett,41,33,-8
Katie Holmes,41,33,-8
Tom Cruise,57,35,-22
Peyton Meyer,21,23,2
Dove Cameron,23,22,-1
Gigi Hadid,24,22,-2
Austin Mahone,23,22,-1
Ginger Zee,38,31,-7
Emily Bett Rickards,28,27,-1
Lana Del Rey,34,29,-5
Cody Simpson,22,23,1
Louis Tomlinson,28,29,1
Olivia Holt,22,22,0
Andy Biersack,29,24,-5
Dylan O'Brien,28,28,0
Jack Griffo,23,19,-4
Kit Harington,33,31,-2
Meryem Uzerli,36,29,-7
Serenay Sarikaya,28,22,-6
Theo James,35,32,-3
Keegan Allen,32,30,-2
Crystal Reed,34,28,-6
Kate Upton,27,23,-4
Ellie Goulding,33,30,-3
Inna,33,31,-2
Rowan Blanchard,18,18,0
Ed Sheeran,28,24,-4
Barbara Palvin,26,26,0
Liam Payne,26,27,1
Spencer Boldman,27,29,2
Jordan Carver,33,31,-2
Logan Henderson,30,26,-4
Chord Overstreet,30,28,-2
James Maslow,29,33,4
Sophie Turner,23,27,4
Sara Carbonero,35,30,-5
Brenda Asnicar,28,26,-2
Lali Espósito,28,22,-6
Margot Robbie,29,32,3
Hope Dworaczyk Smith,35,32,-3
Olivia Palermo,33,30,-3
Behati Prinsloo,31,30,-1
Sarah Palin,55,45,-10
Bill Kaulitz,30,23,-7
Mike Rowe,57,47,-10
Douglas Booth,27,26,-1
Adele,31,24,-7
Danna García,41,26,-15
Gal Gadot,34,29,-5
Stoya,33,23,-10
Kate Gosselin,44,33,-11
Alexis Texas,34,25,-9
Austin Butler,28,26,-2
Erin Burnett,43,31,-12
Elizabeth Gillies,26,24,-2
Adelaide Kane,29,23,-6
Kaya Scodelario,27,25,-2
Rosie Huntington-Whiteley,32,26,-6
Gina Carano,37,35,-2
Sara Tommasi,38,29,-9
Kelli Berglund,23,25,2
Sasha Grey,31,25,-6
Claire Holt,31,25,-6
Maia Mitchell,26,22,-4
Fahriye Evcen Özçivit,33,26,-7
Sterling Knight,30,25,-5
Megyn Kelly,49,32,-17
Tyler Blackburn,33,25,-8
Daniela Ruah,36,35,-1
Jessica Lowndes,31,32,1
Bridgit Mendler,27,27,0
Leo Howard,22,22,0
April Bowlby,39,31,-8
Holland Roden,33,25,-8
Alison Brie,37,28,-9
Sam Heughan,39,31,-8
Daniel Tosh,44,33,-11
Kendall Schmidt,29,29,0
Mark Salling,1,29,28
Marilyn Milian,58,42,-16
Helene Fischer,35,33,-2
William Brent,24,23,-1
Jamie Campbell Bower,31,23,-8
Shantel VanSanten,34,31,-3
Alexander Ludwig,27,30,3
Lucas Till,29,28,-1
Dave Franco,34,30,-4
Andrew Garfield,36,32,-4
Cory Monteith,6,31,25
Ben Barnes,38,30,-8
Alice Eve,37,31,-6
Alexandra Daddario,33,29,-4
Chris Hemsworth,36,40,4
Michael Fassbender,42,35,-7
Joseph Morgan,38,31,-7
Nathan Kress,27,21,-6
Chelsea Kane,31,29,-2
Ian Watkins,42,36,-6
Luke Bryan,43,35,-8
Robert Buckley,38,31,-7
Jason Aldean,42,46,4
Hillary Fisher,34,28,-6
Gemma Arterton,33,31,-2
Alex O'Loughlin,43,33,-10
Audrina Patridge,34,31,-3
Yvonne Strahovski,37,28,-9
Sebastian Stan,37,32,-5
Sarah Hyland,29,28,-1
Ryan Sheckler,30,31,1
Paulina Gretzky,31,27,-4
Nicky Whelan,38,32,-6
Laura Marano,24,23,-1
Isabel Lucas,34,23,-11
Indiana Evans,29,20,-9
Helen Flanagan,29,27,-2
Hayley Atwell,37,31,-6
Britt Robertson,29,25,-4
Bradley James,36,26,-10
AnnaLynne McCord,32,27,-5
Taylor Kitsch,38,36,-2
Julianna Rose Mauriello,28,24,-4
Carey Mulligan,34,28,-6
Mara Wilson,32,7,-25
Brooklyn Decker,32,29,-3
Ana Ivanovic,32,33,1
Taylor Momsen,26,24,-2
Kari Byron,45,35,-10
Holly Weber,35,28,-7
Doutzen Kroes,34,28,-6
Corinna Schumacher,50,29,-21
Dulce María,34,22,-12
Heidi Montag,33,29,-4
Alex Turner,33,25,-8
Julianne Hough,31,30,-1
Elizabeth Olsen,30,31,1
Catherine Duchess of Cambridge,37,33,-4
Barry Manilow,76,45,-31
Calvin Harris,35,35,0
Jamie Dornan,37,29,-8
Barbie Blank,32,26,-6
Jason Dolley,28,33,5
Lily Aldridge,34,28,-6
Jimmy Page,75,63,-12
John Frusciante,49,33,-16
Mitchel Musso,28,27,-1
Brody Jenner,36,33,-3
Joan Jett,61,28,-33
Katie Price,41,33,-8
Anson Mount,46,32,-14
David Henrie,30,29,-1
Gabriela Sabatini,49,36,-13
Zachary Levi,39,34,-5
Stephen Colletti,33,32,-1
Norman Reedus,50,38,-12
Joyce DeWitt,70,44,-26
Johnny Galecki,44,38,-6
Dawn Wells,81,47,-34
Chloë Grace Moretz,22,26,4
Carla Bruni,52,34,-18
Brandon Boyd,43,38,-5
Amy Winehouse,8,30,22
Robin Meade,50,34,-16
Gia Carangi,33,25,-8
Luisana Lopilato,32,23,-9
Bonnie Wright,28,29,1
Nicholas Hoult,30,27,-3
Wendy Whoppers,49,26,-23
Rocco Siffredi,55,46,-9
Pandora Peaks,55,30,-25
Laure Sainclair,47,30,-17
Kay Parker,75,38,-37
Jesse Jane,39,29,-10
Gianna Michaels,36,31,-5
Carmella Bing,38,30,-8
Tina Louise,85,28,-57
Romy Schneider,37,27,-10
Linda Blair,60,41,-19
Karen McDougal,48,33,-15
Elle Fanning,21,24,3
Edwige Fenech,71,34,-37
Claudia Cardinale,81,31,-50
Cassandra Peterson,68,44,-24
A.J. Cook,41,29,-12
Jeremy Renner,48,41,-7
Jan Smithers,70,35,-35
Joan Severance,61,42,-19
Morgan Fairchild,69,39,-30
Russell Brand,44,32,-12
Susan Dey,67,43,-24
Steven Tyler,71,49,-22
Stella Stevens,81,27,-54
Shirley Temple,5,30,25
Robert Plant,71,36,-35
Princess Diana,22,29,7
Ornella Muti,64,36,-28
Nurgül Yesilçay,43,29,-14
Neil Diamond,78,60,-18
Natalia Oreiro,42,30,-12
Nat Wolff,25,25,0
Michelle Hunziker,42,29,-13
Markie Post,69,47,-22
Marjorie De Sousa,39,31,-8
Mario Cimarro,48,33,-15
Linda Kozlowski,61,31,-30
Kelly Stables,41,32,-9
John Denver,22,30,8
Joey Heatherton,75,25,-50
Heather Thomas,62,33,-29
Gina Lollobrigida,92,31,-61
Gary Allan,52,47,-5
Gabriela Spanic,46,32,-14
Elke Sommer,79,26,-53
Doris Day,0,34,34
Dolly Parton,73,56,-17
Debra Paget,86,30,-56
Dean Martin,24,37,13
Catherine Deneuve,76,29,-47
Blake Shelton,43,37,-6
Annette Funicello,6,29,23
Alan Jackson,61,47,-14
Agnetha Fältskog,69,30,-39
Kim Novak,86,29,-57
Angie Dickinson,88,27,-61
Victoria Principal,69,31,-38
Stevie Nicks,71,48,-23
Sophie Marceau,53,36,-17
Seka,65,26,-39
Rod Stewart,74,51,-23
Pattie Boyd,75,23,-52
Mick Jagger,76,56,-20
Merle Haggard,3,64,61
Lynda Carter,68,44,-24
Linda Evans,77,34,-43
Kurt Cobain,25,30,5
Kris Jenner,64,43,-21
Kenny Rogers,81,63,-18
John Lennon,39,47,8
Jenna Haze,37,26,-11
Janine Lindemulder,51,33,-18
Jane Russell,8,33,25
James Dean,64,35,-29
Hedy Lamarr,19,31,12
Grace Kelly,37,33,-4
George Michael,3,39,36
George Jones,6,59,53
Dita Von Teese,47,29,-18
Dana Delany,63,40,-23
Criss Angel,52,32,-20
Bryan Adams,60,54,-6
Bo Derek,63,36,-27
Billy Idol,64,31,-33
Barbara Eden,88,35,-53
Ava Gardner,29,33,4
Anita Ekberg,4,30,26
Adrienne Barbeau,74,32,-42
Thalía,48,24,-24
Kaká,37,25,-12
JoJo,29,28,-1
Alizée,35,22,-13
Willa Holland,28,29,1
Victoria Silvstedt,45,33,-12
Tyler Hoechlin,32,33,1
Travis Fimmel,40,38,-2
Tim McGraw,52,39,-13
Teresa Palmer,33,28,-5
Stacy Keibler,40,30,-10
Skandar Keynes,28,26,-2
Shania Twain,54,34,-20
Sean Faris,37,32,-5
Sasha Alexander,46,35,-11
Ryan Seacrest,45,38,-7
Reba McEntire,64,33,-31
Poppy Montgomery,47,32,-15
Penn Badgley,33,30,-3
Pauley Perrette,50,28,-22
Patricia Heaton,61,41,-20
Paget Brewster,50,35,-15
Missy Peregrym,37,33,-4
Miranda Lambert,36,33,-3
Michelle Marsh,37,28,-9
Michael Bublé,44,32,-12
Matt Bomer,42,30,-12
Marisa Miller,41,30,-11
Logan Lerman,27,23,-4
Lena Headey,46,35,-11
LeAnn Rimes,37,37,0
Kristin Cavallari,32,29,-3
Kendra Wilkinson,34,29,-5
Kelly Ripa,49,37,-12
Kelly Monaco,43,38,-5
Kelly Clarkson,37,30,-7
Kellan Lutz,34,30,-4
Keeley Hazell,33,28,-5
Katherine Moennig,42,23,-19
Kate Mara,36,31,-5
Josh Radnor,45,37,-8
Jodie Marsh,41,35,-6
Joanna Krupa,40,30,-10
Jill Wagner,40,35,-5
Jennifer Morrison,40,27,-13
Jenna Dewan,39,32,-7
Jason Segel,39,39,0
Jason Mraz,42,42,0
James Lafferty,34,31,-3
Holly Madison,40,33,-7
Gwen Stefani,50,30,-20
Georgie Henley,24,20,-4
Gemma Atkinson,35,30,-5
Garth Brooks,57,39,-18
Garrett Hedlund,35,27,-8
Frank Sinatra,21,33,12
Fernando Torres,35,34,-1
Faith Hill,52,34,-18
Evan Peters,32,27,-5
Erin Andrews,41,35,-6
Eric Clapton,74,47,-27
Emmanuelle Chriqui,44,29,-15
Emily VanCamp,33,27,-6
Emily Procter,51,41,-10
Emily Browning,31,27,-4
Emily Blunt,36,27,-9
Elisabetta Canalis,41,34,-7
Drake Bell,33,33,0
Delta Goodrem,35,32,-3
David Tennant,48,38,-10
David Bowie,3,43,40
David Beckham,44,43,-1
Danica Patrick,37,31,-6
Christina Hendricks,44,31,-13
Chelsea Handler,44,37,-7
Céline Dion,51,38,-13
Carrie Underwood,36,31,-5
Camilla Belle,33,29,-4
Brooke Hogan,31,26,-5
Brandy Ledford,50,36,-14
Bill Maher,63,46,-17
AnnaSophia Robb,26,24,-2
Anna Popplewell,31,21,-10
Ann Coulter,58,41,-17
Amy Lee,38,30,-8
Anna Nicole Smith,12,30,18
Prince Harry,35,32,-3
