name,real_age,faceapi_age,dif
EmmaStone,31,31,0
CharlizeTheron,44,36,-8
AmberHeard,33,27,-6
EvanRachelWood,32,31,-1
NinaDobrev,30,23,-7
DianeKruger,43,30,-13
ZooeyDeschanel,39,29,-10
KeiraKnightley,34,31,-3
MaryElizabethWinstead,35,26,-9
CobieSmulders,37,30,-7
FelicityJones,36,27,-9
AshleyHinshaw,31,32,1
ElizabethRice,34,23,-11
MonicaBellucci,55,27,-28
LilyCollins,30,20,-10
EllaPurnell,23,22,-1
KirstenDunst,37,34,-3
BrieLarson,30,28,-2
AnnaSophiaRobb,26,29,3
EmmaWatson,29,26,-3
ImogenPoots,30,24,-6
EmiliedeRavin,38,26,-12
OlgaKurylenko,40,31,-9
MarionCotillard,44,31,-13
HaydenPanettiere,30,25,-5
AngelinaJolie,44,35,-9
MaggieGrace,36,30,-6
CareyMulligan,34,30,-4
RachelMcAdams,41,31,-10
ElleFanning,21,23,2
MalinAkerman,41,32,-9
MariaMenounos,41,32,-9
AudreyTautou,43,32,-11
MillaJovovich,44,28,-16
AmySmart,43,31,-12
MinkaKelly,39,30,-9
EvangelineLilly,40,44,4
ChristinaHendricks,44,30,-14
TamlaKari,31,24,-7
RebeccaRomijn,47,33,-14
BryceDallasHoward,38,28,-10
RachelHurd-Wood,29,29,0
LenaHeadey,46,34,-12
DanielleCampbell,24,23,-1
EmmyClarke,28,16,-12
PeytonList,33,26,-7
LyndsyFonseca,32,25,-7
StacyKeibler,40,33,-7
EllenPage,32,26,-6
AmandaSeyfried,34,27,-7
JuliaStiles,38,30,-8
IslaFisher,43,31,-12
MischaBarton,33,28,-5
GemmaArterton,33,29,-4
JanuaryJones,41,32,-9
PortiaDoubleday,31,23,-8
KateWinslet,44,31,-13
AshleyGreene,32,31,-1
HeatherGraham,49,34,-15
AlyssaMilano,47,32,-15
AliLarter,43,33,-10
NaomiWatts,51,36,-15
SiennaMiller,38,26,-12
DeniseRichards,48,33,-15
KristenBell,39,32,-7
MarisaTomei,55,35,-20
